ORPHANET_ID	ORPHANET_NAME	MESH_ID
3324	Familial thrombomodulin anomalies	C536900
2056	Essential fructosuria	C538068
6	3-methylcrotonyl-CoA carboxylase deficiency	C535308
2831	Rhizomelic dysplasia, Patterson-Lowry type	C537609
822	Hereditary spherocytosis	C536356
3206	Stüve-Wiedemann syndrome	C537502
2538	Microgastria-limb reduction defect syndrome	C537554
1114	Aplasia cutis congenita	C536840
3271	Radio-ulnar synostosis-retinal pigment abnormalities syndrome	C536270
1272	Aymé-Gripp syndrome	C537933
1134	Isolated arrhinia	C537438
2619	Brachydactylous dwarfism, Mseleni type	C537086
2151	Hirschsprung disease-ganglioneuroblastoma syndrome	C538119
3167	Siegler-Brewer-Carey syndrome	C537335
3405	Umbilical cord ulceration-intestinal atresia syndrome	C536938
2254	Pontocerebellar hypoplasia type 1	C548069
2519	Microcephaly-seizures-intellectual disability-heart disease syndrome	C537544
210566	Myoclonic dystonia 15	C538002
210272	Mal de débarquement	C537840
67	Amoebiasis due to Entamoeba histolytica	C531613
1063	Tufted angioma	C536924
211017	Spinocerebellar ataxia type 30	C537206
2122	Kaposiform hemangioendothelioma	C537007
25	Glutaryl-CoA dehydrogenase deficiency	C536833
175	Cartilage-hair hypoplasia	C535916
42	Medium chain acyl-CoA dehydrogenase deficiency	C536038
2066	Gamma-aminobutyric acid transaminase deficiency	C535407
300	Bifunctional enzyme deficiency	C536663
782	Axenfeld-Rieger syndrome	C535679
3379	Distal trisomy 17q	C536579
216694	Congenitally corrected transposition of the great arteries	C535426
216812	Osteogenesis imperfecta type 3	C536044
216820	Osteogenesis imperfecta type 4	C536045
216828	Osteogenesis imperfecta type 5	C536046
1441	Ring chromosome 17 syndrome	C538046
1787	Acrofacial dysostosis, Palagonia type	C538185
179	Birdshot chorioretinopathy	C537630
566	Congenital microcoria	C537550
340	Hemorrhagic fever-renal syndrome	C535630
1457	Aorta coarctation	C531623
217607	Familial dilated cardiomyopathy	C536231
2037	Congenital aortopulmonary window	C537782
2157	Histidinemia	C538320
3124	Saccharopinuria	C537218
220436	Quebec platelet disorder	C536260
2168	Homocarnosinosis	C535328
2195	Dicarboxylic aminoaciduria	C536171
414	Gyrate atrophy of choroid and retina	C537132
2880	Phosphoenolpyruvate carboxykinase deficiency	C536654
941	D-glyceric aciduria	C535767
220460	Attenuated familial adenomatous polyposis	C538265
2843	Pentosuria	C536652
212	Cystathioninuria	C535408
24	Fumaric aciduria	C538191
851	Paris-Trousseau thrombocytopenia	C538617
225123	Hemochromatosis type 3	C537248
3398	Thymic epithelial neoplasm	C536905
1652	Dent disease	C545036
132	Butyrylcholinesterase deficiency	C537417
1333	Familial pancreatic carcinoma	C535837
135	CACH syndrome	C537420
1320	Idiopathic camptocormia	C537968
441	Pure autonomic failure	C544351
160	Castleman disease	C536362
2966	Properdin deficiency	C537241
1223	Balantidiasis	C531629
839	Congenital nephrotic syndrome, Finnish type	C535761
238606	Primary orthostatic tremor	C536418
1929	Rasmussen subacute encephalitis	C535291
2686	Cyclic neutropenia	C536227
592	Macrophagic myofasciitis	C537829
198	Occipital horn syndrome	C537860
891	Familial exudative vitreoretinopathy	C536382
225	Maternally-inherited diabetes and deafness	C536246
277	Severe combined immunodeficiency due to adenosine deaminase deficiency	C531816
320	Apparent mineralocorticoid excess	C537422
230	Dopamine beta-hydroxylase deficiency	C535600
88	Idiopathic aplastic anemia	C538494
807	Sebastian syndrome	C537531
26792	Short chain acyl-CoA dehydrogenase deficiency	C537596
49	Penile agenesis	C536649
674	Accessory pancreas	C536003
603	Distal myopathy, Welander type	C536690
609	Tibial muscular dystrophy	C536815
602	GNE myopathy	C536816
74	Angiostrongyliasis	C536369
129	Pseudopelade of Brocq	C531609
123	Björnstad syndrome	C537633
898	Wagner disease	C536075
170	Woolly hair	C536745
169	Ringed hair disease	C537187
91	Aromatase deficiency	C537436
901	Wells syndrome	C536693
867	Familial multiple trichoepithelioma	C536552
1332	Medullary thyroid carcinoma	C536914
142	Anaplastic thyroid carcinoma	C536910
615	Familial atrial myxoma	C538262
1330	Partial atrioventricular canal	C536112
864	Trichofolliculoma	C536553
444	Marie Unna hereditary hypotrichosis	C535912
499	Kerion celsi	C536165
525	Lichen planopilaris	C535892
409	Hyperkeratosis lenticularis perstans	C538377
41	Dyschromatosis symmetrica hereditaria	C535729
38	Acrokeratoelastoidosis of Costa	C535653
211	Familial cylindromatosis	C536611
2908	Kindler syndrome	C536321
81	Antisynthetase syndrome	C537778
31204	Nocardiosis	C536125
31112	Dermatofibrosarcoma protuberans	C538219
71279	CANOMAD syndrome	C537980
71272	Sandifer syndrome	C537234
70595	Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome	C537583
69739	Athabaskan brainstem dysgenesis syndrome	C535397
69665	Intrahepatic cholestasis of pregnancy	C535932
69126	Pyogenic arthritis-pyoderma gangrenosum-acne syndrome	C536253
69085	Limb-mammary syndrome	C535903
67047	3-methylglutaconic aciduria type 3	C535311
67036	Autosomal dominant optic atrophy and cataract	C537128
66629	Goldberg-Shprintzen megacolon syndrome	C537279
65283	Timothy syndrome	C536962
65284	Biotin-thiamine-responsive basal ganglia disease	C537658
65684	Monomelic amyotrophy	C538253
64745	Pruritic urticarial papules and plaques of pregnancy	C535817
64748	Dejerine-Sottas syndrome	C538392
64686	Tolosa-Hunt syndrome	C531833
64742	Pleuropulmonary blastoma	C537516
63454	Pattern dystrophy	C536309
63999	IgG4-related mediastinitis	C536136
63862	Schisis association	C536633
60041	Congenital heart block	C535758
60032	Recurrent respiratory papillomatosis	C535297
56304	Atelosteogenesis type II	C535395
55654	Hypotrichosis simplex	C537160
79230	Hemochromatosis type 2	C537247
79237	Galactokinase deficiency	C535999
79234	Crigler-Najjar syndrome type 1	C536212
79235	Crigler-Najjar syndrome type 2	C536213
79189	Peroxisome biogenesis disorder	C536664
79148	Elastosis perforans serpiginosa	C536202
79159	Isobutyryl-CoA dehydrogenase deficiency	C535541
79101	Hyperprolinemia type 2	C538385
79095	Congenital bile acid synthesis defect type 4	C535444
79133	Focal facial dermal dysplasia type I	C536385
79133	Focal facial dermal dysplasia type I	C537068
77297	Majeed syndrome	C537839
75327	North Carolina macular dystrophy	C537835
75373	Progressive bifocal chorioretinal atrophy	C535356
75377	Central areolar choroidal dystrophy	C535358
75382	Oguchi disease	C537743
75496	B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	C536201
75497	X-linked Ehlers-Danlos syndrome	C536197
75563	X-linked sideroblastic anemia	C536761
75858	MORM syndrome	C536984
75325	Osteosclerosis-ichthyosis-premature ovarian failure syndrome	C536064
73217	Müllerian aplasia	C537371
40923	Eales disease	C538011
39044	Uveal melanoma	C536494
36899	Myoclonus-dystonia syndrome	C536096
41751	Bietti crystalline dystrophy	C535440
42062	Iminoglycinuria	C536285
35125	Epidermal nevus syndrome	C536114
35122	Congenital sucrase-isomaltase deficiency	C538139
33572	5-oxoprolinase deficiency	C535322
33445	Neuroectodermal melanolysosomal disease	C536203
34217	Naxos disease	C538346
33108	Lethal multiple pterygium syndrome	C537378
33067	Metaphyseal chondrodysplasia, Jansen type	C537564
33001	Lymphedema-distichiasis syndrome	C537710
33355	Reticular dysgenesis	C538361
33364	Trichothiodystrophy	C536559
52368	Mohr-Tranebjaerg syndrome	C535808
53271	Muenke syndrome	C537369
53347	Brody myopathy	C536607
53035	Caroli disease	C531647
52901	Isolated follicle stimulating hormone deficiency	C537070
53689	Congenital chloride diarrhea	C536210
53372	Hereditary geniospasm	C537682
53719	Wyburn-Mason syndrome	C536752
53693	GRACILE syndrome	C537934
48818	Aceruloplasminemia	C536004
49827	Thiamine-responsive megaloblastic anemia syndrome	C536510
50945	Blomstrand lethal chondrodysplasia	C537914
50943	Keratolytic winter erythema	C536155
52022	Potocki-Shaffer syndrome	C538356
51608	Generalized arterial calcification of infancy	C537440
51188	Ethylmalonic encephalopathy	C535737
51636	WHIM syndrome	C536697
42665	Tietz syndrome	C536919
42738	Severe congenital neutropenia	C537592
45448	Miyoshi myopathy	C537480
46059	Lathosterolosis	C537880
47044	Hereditary papillary renal cell carcinoma	C538614
46627	Char syndrome	C538076
90024	Deafness with labyrinthine aplasia, microtia, and microdontia	C548011
90035	Paroxysmal cold hemoglobinuria	C538618
89844	Lissencephaly syndrome, Norman-Roberts type	C537848
90000	Erythema elevatum diutinum	C535509
90342	Xeroderma pigmentosum variant	C536766
90362	Primary intestinal lymphangiectasia	C536567
90153	Mandibuloacral dysplasia with type A lipodystrophy	C535705
90154	Mandibuloacral dysplasia with type B lipodystrophy	C535706
90280	Chilblain lupus	C535924
90117	Hereditary motor and sensory neuropathy, Okinawa type	C535717
88621	Ichthyosis-prematurity syndrome	C536271
88628	Posterior column ataxia-retinitis pigmentosa syndrome	C536343
86920	Dermatopathia pigmentosa reticularis	C535374
88918	Autosomal dominant Alport syndrome	C536586
88919	Autosomal recessive Alport syndrome	C536587
93271	Short rib-polydactyly syndrome, Verma-Naumoff type	C537602
93280	Spondyloepiphyseal dysplasia, Omani type	C535789
93275	Thanatophoric dysplasia, Glasgow variant	C536506
93111	Renal cysts and diabetes syndrome	C535520
93333	Pelviscapular dysplasia	C535550
93347	Anauxetic dysplasia	C538256
93292	Adenoma of pancreas	C538110
93296	Achondrogenesis type 2	C536017
93298	Achondrogenesis type 1B	C536016
93299	Achondrogenesis type 1A	C536015
93307	Multiple epiphyseal dysplasia type 4	C535504
93308	Multiple epiphyseal dysplasia type 1	C535501
93311	Multiple epiphyseal dysplasia type 5	C535505
93314	Spondylometaphyseal dysplasia, Kozlowski type	C535797
93315	Spondylometaphyseal dysplasia, 'corner fracture' type	C535793
93317	Spondylometaphyseal dysplasia, Sedaghatian type	C535798
90658	Charcot-Marie-Tooth disease type 1E	C537986
90658	Charcot-Marie-Tooth disease type 1E	C538078
90790	Congenital lipoid adrenal hyperplasia due to STAR deficency	C537027
90390	Anonychia-onychodystrophy syndrome	C536378
90653	Stickler syndrome type 1	C537492
90652	Otopalatodigital syndrome type 2	C538089
90654	Stickler syndrome type 2	C537493
91385	Acquired angioedema	C538173
91496	Snowflake vitreoretinal degeneration	C536677
91500	Tubulointerstitial nephritis and uveitis syndrome	C536922
91481	Ring dermoid of cornea	C535684
90795	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	C535978
79397	Epidermolysis bullosa simplex with mottled pigmentation	C535959
79399	Epidermolysis bullosa simplex, generalized intermediate	C535961
79401	Epidermolysis bullosa simplex, Ogna type	C535962
79411	Transient bullous dermolysis of the newborn	C536979
79434	Oculocutaneous albinism type 1B	C537729
79433	Oculocutaneous albinism type 3	C537189
79433	Oculocutaneous albinism type 3	C537731
79432	Oculocutaneous albinism type 2	C537730
79444	Pseudohypoparathyroidism type 1C	C548076
79478	Griscelli syndrome type 3	C537303
79493	Brooke-Spiegler syndrome	C536611
79477	Griscelli syndrome type 2	C537302
79476	Griscelli syndrome type 1	C537301
79263	Infantile neuronal ceroid lipofuscinosis	C537948
79262	Adult neuronal ceroid lipofuscinosis	C537950
79246	Pyruvate dehydrogenase phosphatase deficiency	C536258
79301	Congenital bile acid synthesis defect type 1	C535442
79292	Fish-eye disease	C538467
79310	Vitamin B12-responsive methylmalonic acidemia type cblA	C537360
79311	Vitamin B12-responsive methylmalonic acidemia type cblB	C537361
79306	Progressive familial intrahepatic cholestasis type 1	C535933
79304	Progressive familial intrahepatic cholestasis type 2	C535934
79305	Progressive familial intrahepatic cholestasis type 3	C535935
79302	Congenital bile acid synthesis defect type 3	C566340
79303	Congenital bile acid synthesis defect type 2	C535443
79345	Brachytelephalangic chondrodysplasia punctata	C535941
85195	Familial expansile osteolysis	C536335
85199	Craniosynostosis-anal anomalies-porokeratosis syndrome	C536789
85202	Keutel syndrome	C536167
85273	X-linked intellectual disability, Abidi type	C535556
85274	Syndromic X-linked intellectual disability 7	C537449
85278	Christianson syndrome	C537450
85281	MECP2 duplication syndrome	C537723
85282	MEHMO syndrome	C537451
85283	X-linked intellectual disability, Miles-Carpenter type	C537472
85285	X-linked intellectual disability, Schimke type	C536630
85287	X-linked intellectual disability, Siderius type	C537333
85292	X-linked spinocerebellar ataxia type 4	C537316
85291	X-linked intellectual disability, Wittwer type	C536760
85297	X-linked spinocerebellar ataxia type 3	C537315
85443	AL amyloidosis	C531616
86789	Patella aplasia/hypoplasia	C535568
86884	Subcutaneous panniculitis-like T-cell lymphoma	C537503
79503	Ichthyosis hystrix of Curth-Macklin	C536088
79504	Ichthyosis hystrix gravior	C536087
79495	X-linked congenital generalized hypertrichosis	C538388
83451	Florid cemento-osseous dysplasia	C537063
83463	Microtia	C537772
83461	Congenital primary aphakia	C537786
83454	Glomuvenous malformation	C536827
85136	Cystic leukoencephalopathy without megalencephaly	C567845
85110	Familial encephalopathy with neuroserpin inclusion bodies	C536841
85186	Endosteal sclerosis-cerebellar hypoplasia syndrome	C535353
85182	Diaphyseal medullary stenosis-bone malignancy syndrome	C536169
85174	Pseudodiastrophic dysplasia	C535826
97244	Rigid spine syndrome	C535683
97249	Pontocerebellar hypoplasia type 3	C548072
97295	Furlong syndrome	C538192
97340	Hunter-McAlpine craniosynostosis	C536072
97346	ADan amyloidosis	C538209
97345	ABri amyloidosis	C538208
97364	Bilateral multicystic dysplastic kidney	C537373
96177	Ring chromosome 15 syndrome	C538035
96176	Ring chromosome 13 syndrome	C538303
96346	Anorectal malformation	C537771
96334	Kagami-Ogata syndrome due to paternal uniparental disomy of chromosome 14	C536471
97238	Rippling muscle disease	C535685
97229	Riboflavin transporter deficiency	C537111
95430	Congenital tracheomalacia	C557675
94068	Spondyloepiphyseal dysplasia congenita	C535788
94086	Blue diaper syndrome	C536239
94090	Pseudohypoparathyroidism type 2	C548077
94089	Pseudohypoparathyroidism type 1B	C548075
96173	Ring chromosome 9 syndrome	C538022
96170	Emanuel syndrome	C535733
96103	Distal trisomy 11q	C538294
96102	Distal trisomy 10q	C538087
96068	Mosaic trisomy 22	C536796
96061	Mosaic trisomy 8	C537940
93403	Syndactyly type 2	C538153
93404	Syndactyly type 3	C538154
93406	Syndactyly type 5	C538155
93437	Acromesomelic dysplasia	C535658
93360	Spondyloepimetaphyseal dysplasia with multiple dislocations	C535784
93372	Familial hypocalciuric hypercalcemia type 1	C537145
93382	Brachydactyly type A6	C537092
93388	Brachydactyly type A1	C537088
93384	Brachydactyly type C	C537093
93396	Brachydactyly type A2	C537089
93976	Anotia	C537772
93972	Juberg-Marsidi syndrome	C537457
93932	FG syndrome type 1	C537923
93921	Schwannomatosis	C536641
93622	Dent disease type 1	C538212
93672	Juvenile dermatomyositis	C538250
93686	Multicentric Castleman disease	C537372
93598	Primary hyperoxaluria type 1	C536414
93585	Acquired thrombotic thrombocytopenic purpura	C536901
93608	Autosomal dominant distal renal tubular acidosis	C538565
99106	Atrial septal defect, ostium primum type	C548006
99105	Atrial septal defect, sinus venosus type	C548009
99361	Familial medullary thyroid carcinoma	C536911
99715	MASS syndrome	C536030
99750	Atypical progressive supranuclear palsy syndrome	C537240
99741	King-Denborough syndrome	C536883
99742	Amish lethal microcephaly	C538247
98819	Familial temporal lobe epilepsy	C536956
98810	Paroxysmal non-kinesigenic dyskinesia	C537181
98856	Charcot-Marie-Tooth disease type 2B1	C537990
98871	Transient erythroblastopenia of childhood	C536980
98895	Becker muscular dystrophy	C537666
98957	Gelatinous drop-like corneal dystrophy	C535480
98964	Lattice corneal dystrophy type I	C537881
98963	Granular corneal dystrophy type II	C535474
98961	Reis-Bücklers corneal dystrophy	C535476
98960	Thiel-Behnke corneal dystrophy	C535942
98967	Schnyder corneal dystrophy	C535475
98988	Early-onset anterior polar cataract	C538282
98989	Cerulean cataract	C537955
98995	Early-onset zonular cataract	C535342
98994	Total early-onset cataract	C535341
99015	Spastic paraplegia type 2	C536857
98764	Spinocerebellar ataxia type 27	C537204
98763	Spinocerebellar ataxia type 14	C537196
98760	Spinocerebellar ataxia type 8	C537307
98772	Spinocerebellar ataxia type 19/22	C537198
98771	Spinocerebellar ataxia type 18	C537197
98773	Spinocerebellar ataxia type 21	C537200
98768	Spinocerebellar ataxia type 13	C537195
101111	Spinocerebellar ataxia type 25	C537202
101112	Spinocerebellar ataxia type 26	C537203
101109	Spinocerebellar ataxia type 28	C537205
101110	Spinocerebellar ataxia type 20	C537199
101107	Spinocerebellar ataxia type 22	C542540
101108	Spinocerebellar ataxia type 23	C537201
101083	Charcot-Marie-Tooth disease type 1C	C537984
101084	Charcot-Marie-Tooth disease type 1D	C537985
101075	X-linked Charcot-Marie-Tooth disease type 1	C535919
101102	Charcot-Marie-Tooth disease type 2H	C535415
101101	Charcot-Marie-Tooth disease type 2B2	C537991
101049	Familial hypocalciuric hypercalcemia type 2	C537146
101050	Familial hypocalciuric hypercalcemia type 3	C537147
101009	Autosomal dominant spastic paraplegia type 29	C536863
100984	Autosomal dominant spastic paraplegia type 3	C536864
100991	Autosomal dominant spastic paraplegia type 10	C537482
100989	Autosomal dominant spastic paraplegia type 8	C536867
100988	Autosomal dominant spastic paraplegia type 6	C536866
100986	Autosomal recessive spastic paraplegia type 5A	C536871
100985	Autosomal dominant spastic paraplegia type 4	C536865
100999	Autosomal dominant spastic paraplegia type 19	C536856
100997	X-linked spastic paraplegia type 16	C536643
100995	Autosomal recessive spastic paraplegia type 14	C537486
100996	Autosomal recessive spastic paraplegia type 15	C536642
100993	Autosomal dominant spastic paraplegia type 12	C537484
100994	Autosomal dominant spastic paraplegia type 13	C537485
101005	Autosomal recessive spastic paraplegia type 25	C536861
101006	Autosomal recessive spastic paraplegia type 26	C536862
100033	Hypomaturation amelogenesis imperfecta	C536606
100050	Hereditary angioedema type 1	C538577
100006	ABeta amyloidosis, Dutch type	C537944
99961	Benign recurrent intrahepatic cholestasis type 2	C535931
99960	Benign recurrent intrahepatic cholestasis type 1	C535930
99955	Charcot-Marie-Tooth disease type 4B1	C535420
99956	Charcot-Marie-Tooth disease type 4B2	C535421
99948	Charcot-Marie-Tooth disease type 4A	C535419
99950	Charcot-Marie-Tooth disease type 4D	C535716
99949	Charcot-Marie-Tooth disease type 4C	C535423
99951	Charcot-Marie-Tooth disease type 4E	C535301
99931	Idiopathic pulmonary hemosiderosis	C536281
99900	Long chain acyl-CoA dehydrogenase deficiency	C535690
99898	Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR1 deficiency	C535530
99877	Familial parathyroid adenoma	C564166
99872	Hashimoto-Pritzker syndrome	C535843
99870	Letterer-Siwe disease	C538636
99842	Leukocyte adhesion deficiency type I	C535887
99811	Neuronal intestinal pseudoobstruction	C537394
99819	Familial gestational hyperthyroidism	C566384
99803	Haddad syndrome	C536209
99810	Familial porencephaly	C536850
99789	Dentin dysplasia type I	C538215
99792	Dentin dysplasia-sclerotic bones syndrome	C538213
99777	Achalasia-alacrimia syndrome	C536009
99776	Mosaic trisomy 9	C535454
